"","project_number","Baseline Year","Operation Name","Country Name","Objective","outcomes","outcomes_indicators","outcomes_units","Baseline","outcomes_means","Indicator Observation","Long.op.name"
"289","GY-L1058",2014,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Increased access and use of reproductive, maternal, and neonatal health services","Women who receive antenatal care before 12 weeks pregnant.","%",23.9,"MCH Report, Clinic Summary Report (CSR)","Calculated for intervention areas. Excludes “unknown”. The survey to collect the baseline data will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"290","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Increased effectiveness of the maternal and neonatal healthcare network","Women that are referred to the national hospital for obstetric conditions that could have been resolved at another level of care.","%",87.9,"HFS, MRR","Calculated for health facilities in intervention areas. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as -50%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"291","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Institutional deliveries for which immediate neonatal care was provided to the infant according to the norms.","%",1.9,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"292","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Pregnant women receiving quality antenatal care according to best practices.","%",30.2,"Health Facility Surveys (HFS), Medical Record Review (MRR) module","Calculated for health facilities in intervention areas that provide antenatal care. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +15%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"293","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Institutional deliveries for which oxytocin was administered immediately following birth as part of Active Management of the Third Stage of Labor.","%",94.5,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"294","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Deliveries for which the partograph was used according to best practices.","%",82.8,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +20%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"295","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Increased effectiveness of the maternal and neonatal healthcare network","Health facilities with continuous availability of inputs and equipment to provide essential and emergency obstetric and neonatal care.","%",0,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"296","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Neonates with complications (prematurity, low birth weight, asphyxia and sepsis) managed according to norms.","%",0,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +20%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"297","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Women that received immediate postpartum care according to best practices (every 15 minutes in the first hour and every 30 minutes in the second hour).","%",0.1,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"298","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Pregnant women receiving quality antenatal care according to best practices.","%",22.4,"Health Facility Surveys (HFS), Medical Record Review (MRR) module","Calculated for health facilities in intervention areas that provide antenatal care. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +15%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"299","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Increased effectiveness of the maternal and neonatal healthcare network","Health facilities with continuous availability of inputs and equipment to provide quality antenatal and post-natal care.","%",3.6,"HFS, MRR","Calculated for health facilities in intervention areas that provide antenatal and postnatal care. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"300","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Institutional deliveries for which oxytocin was administered immediately following birth as part of Active Management of the Third Stage of Labor.","%",93.9,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"301","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Deliveries for which the partograph was used according to best practices.","%",21.9,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +20%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"302","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Increased effectiveness of the maternal and neonatal healthcare network","Health facilities with continuous availability of inputs and equipment to provide quality antenatal and post-natal care.","%",1.5,"HFS, MRR","Calculated for health facilities in intervention areas that provide antenatal and postnatal care. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"303","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Neonates with complications (prematurity, low birth weight, asphyxia and sepsis) managed according to norms.","%",6.2,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +20%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"304","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Women that received immediate postpartum care according to best practices (every 15 minutes in the first hour and every 30 minutes in the second hour).","%",2,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"305","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Increased effectiveness of the maternal and neonatal healthcare network","Women that are referred to the national hospital for obstetric conditions that could have been resolved at another level of care.","%",90,"HFS, MRR","Calculated for health facilities in intervention areas. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as -50%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"306","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Obstetric complications (sepsis, hemorrhage, severe pre-eclampsia and eclampsia) managed according to norms.","%",8.9,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +20%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"307","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Obstetric complications (sepsis, hemorrhage, severe pre-eclampsia and eclampsia) managed according to norms.","%",3.8,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. The baseline will be updated with the results of the HFS, which will be conducted in 2018. EOP has been defined during design as +20%PP over baseline data and will be calculated once the baseline has been established.","GY-L1058 - Support to Improve Maternal and Child Health"
"308","GY-L1058",2017,"Support to Improve Maternal and Child Health","Guyana","The operation will support among other activities: (i) quality improvements to maternal, neonatal, child, and reproductive health services at the primary as well as at the hospital level focusing on the areas with the highest concentrations of deaths: the focus here will also be on strengthening, among other strategies, Essential Neonatal Obstetrical Care (ENOC) and Emergency Obstetrical Neonatal Care (EONC); (ii) strengthening health service delivery capacity to increase coverage and use/demand for certain services and strengthen practices by the target population. Capacity building will also support the delivery of effective counseling services towards behavior change related to care-seeking for early prenatal and post-natal controls and attitudes towards institutional deliveries; and (iii) implementation of innovative financing schemes to overcome demand side barriers (such as transport related costs to access institutional delivery) faced by the targeted population and implementation of a reward system for improved performance by service providers","Improved quality of reproductive, maternal, and neonatal health services","Institutional deliveries for which immediate neonatal care was provided to the infant according to the norms.","%",1.6,"HFS, MRR","Calculated for health facilities in intervention areas that provide routine birth services. A goal of 85% is standard for this quality indicator. The baseline will be updated with the results of the HFS, which will be conducted in 2018.","GY-L1058 - Support to Improve Maternal and Child Health"
"310","GY-L1080",2015,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals","Diabetes treatment rate in seven target hospitals","%",56.6,"ed. record review","Patients treated / diagnosed","GY-L1080 - Health Care Network Strengthening in Guyana"
"311","GY-L1080",2015,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals","Hypertension treatment rate in seven target hospitals","%",41.9,"Med. record review","Patients treated / diagnosed","GY-L1080 - Health Care Network Strengthening in Guyana"
"312","GY-L1080",2017,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals","ICU discharges (alive) in three target hospitals","#",702,"Hospital information system","54 annual discharges / bed; 13 to 39 ICU beds","GY-L1080 - Health Care Network Strengthening in Guyana"
"313","GY-L1080",2018,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs","Availability of hypoglycemic agent (diabetes medication) in health posts","%",40,"IDB facilities assessment","metformin","GY-L1080 - Health Care Network Strengthening in Guyana"
"314","GY-L1080",2019,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs","Pregnant women with complete lab work in targeted regions","%",12.9,"ed. record review","Hinterland regions 1,7,8","GY-L1080 - Health Care Network Strengthening in Guyana"
"315","GY-L1080",2021,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs","Global Health Security Index","Points",30.8,"www.ghsindex.org","100 scale","GY-L1080 - Health Care Network Strengthening in Guyana"
"316","GY-L1080",2021,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals","Total surgeries in three target hospitals","#",10378,"Hospital information system","17 to 23 surgery theaters","GY-L1080 - Health Care Network Strengthening in Guyana"
"317","GY-L1080",2022,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country’s hinterlands, through digital health","Diabetic patients screened for diabetic retinopathy","%",7,"Hospital information system","Patients over 40 years; 74,000 total estimated diabetes patients","GY-L1080 - Health Care Network Strengthening in Guyana"
"318","GY-L1080",2022,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals","Patients diagnosed with hypertension who do blood pressure control every six months in four target hospitals","#",592,"Administrative data from hospitals","Patients treated / diagnosed","GY-L1080 - Health Care Network Strengthening in Guyana"
"321","GY-L1080",2022,"Health Care Network Strengthening in Guyana","Guyana","The objective is to improve the health of the Guyanese population through increased access, quality, and efficiency of health services. Specific objectives are: (i) improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals; (ii) extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country's hinterlands, through digital health (DH); and (iii) increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs.","Increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs","Pregnant women with access to a maternity waiting home (at four targeted hospitals in the hinterlands)","#",123,"Administrative data from health regions","Hinterland regions 1,7,8, 9","GY-L1080 - Health Care Network Strengthening in Guyana"
