"","project_number","Country Name","Baseline Year","Long.op.name","objectives","Objective","outcomes","outcomes_indicators","outcomes_units","outcomes_means","reformulated","health","malaria","covid"
"2167","JA-L1049","Jamaica",2008,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","% of population aged 15-74 who does not meet the recommended daily intake of vegetables (national level)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2179","JA-L1049","Jamaica",2008,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18 years+ with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2180","JA-L1049","Jamaica",2008,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18 years+ with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2189","JA-L1049","Jamaica",2008,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18 years+ with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2201","JA-L1049","Jamaica",2008,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2202","JA-L1049","Jamaica",2008,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2211","JA-L1049","Jamaica",2008,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2223","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","% of population aged 15-74 who does not meet the recommended daily intake of vegetables (national level)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2224","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","% of population aged 15-74 who does not meet the recommended daily intake of vegetables (national level)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2233","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","% of population aged 15-74 who does not meet the recommended daily intake of vegetables (national level)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2245","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18 years+ with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2246","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18 years+ with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2255","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18 years+ with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2267","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2268","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2277","JA-L1049","Jamaica",2013,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled.","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2289","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","Patients with category 5 Emergency Severity Index Triage rating in AED (3 hospitals)","%","Ministry of Health E-Triage system","NO",TRUE,FALSE,FALSE
"2290","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","Patients with category 5 Emergency Severity Index Triage rating in AED (3 hospitals)","%","Ministry of Health E-Triage system","NO",TRUE,FALSE,FALSE
"2299","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","Patients with category 5 Emergency Severity Index Triage rating in AED (3 hospitals)","%","Ministry of Health E-Triage system","NO",TRUE,FALSE,FALSE
"2311","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","Patients who were triaged in less than 30 minutes (target hospitals)","%","Ministry of Health","NO",TRUE,FALSE,FALSE
"2312","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","Patients who were triaged in less than 30 minutes (target hospitals)","%","Ministry of Health","NO",TRUE,FALSE,FALSE
"2321","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","Patients who were triaged in less than 30 minutes (target hospitals)","%","Ministry of Health","NO",TRUE,FALSE,FALSE
"2333","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled (target HC)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2334","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled (target HC)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2343","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of women age 18+ years with hypertension that have their blood pressure controlled (target HC)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2355","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management","Ministry of Health equipment and facility maintenance budget","%","Ministry of Finance and Public Service Expenditure Estimates","NO",TRUE,FALSE,FALSE
"2356","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management","Ministry of Health equipment and facility maintenance budget","%","Ministry of Finance and Public Service Expenditure Estimates","NO",TRUE,FALSE,FALSE
"2365","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management","Ministry of Health equipment and facility maintenance budget","%","Ministry of Finance and Public Service Expenditure Estimates","NO",TRUE,FALSE,FALSE
"2377","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18+ years with hypertension that have their blood pressure controlled (target HC)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2378","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18+ years with hypertension that have their blood pressure controlled (target HC)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
"2387","JA-L1049","Jamaica",2017,"JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","% of men age 18+ years with hypertension that have their blood pressure controlled (target HC)","%","Jamaica Health and Lifestyle Survey (JHLS)","NO",TRUE,FALSE,FALSE
