"","Project Number","Baseline Year","Operation Name","Long.op.name","objectives","objectives_indicators","objectives_units","health","malaria","covid","calidad","acceso","morbilidad","eficiencia","equidad"
"85","GY-L1080",2022,"Health Care Network Strengthening in Guyana","GY-L1080 - Health Care Network Strengthening in Guyana","+Improve the health of the Guyanese population through increased access, quality, and efficiency of health services","Risks of premature death from NCDs
Risk of premature death from NCDs
Vision impairment and blindness due to diabetic retinopathy
Crude mortality rate in the intervened regions
Crude mortality rate
Age-standardized death rate due to self-harm","%
%
#
Per 1,000
Per 1,000
Per 100,000",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"86","HA-J0001",2021,NA,"HA-J0001 - NA","+The general objective of this project is to contribute to ensuring minimum levels of quality of life for vulnerable persons amid the crisis caused by COVID-19.","Households with an IPC of above 4 in selected areas of intervention for the program","%",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"87","HA-J0005",2022,NA,"HA-J0005 - NA","+To contribute to reducing food insecurity among vulnerable populations in Haiti and to increasing the medium- and long-term resilience among vulnerable populations in Haiti","Percentage of population in selected areas of intervention for the program with an Integrated Food Security Phase Classification (IPC) level 3 or above","%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"88","HA-J0007",2023,NA,"HA-J0007 - NA","+To address food insecurity among vulnerable populations in Haiti by improving access to food and to increase the use of preventive and essential health services","Households with an IPC of 3 or higher in selected areas of intervention for the program
Beneficiaries assisted by GHESKIO and ZL-PIH under this program who experience an improvement in their medically diagnosed condition","Percentage (%)
Percentage (%)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"89","HA-L1137",2020,NA,"HA-L1137 - NA","+Socioeconomic integration of young people increases","Pro-social behavior among beneficiaries.
Youth beneficiaries of training that worked during last week.
Percentage of startups (of graduated entrepreneurs) that are still in operation 12 months after the graduation of the entrepreneur
Youth beneficiaries of training that worked during last week.
Percentage of startups (of graduated entrepreneurs) that are still in operation 12 months after the graduation of the entrepreneur
Pro-social behavior among beneficiaries.","Standardized Scale
Percentage
Percentage
Percentage
Percentage
Standardized Scale",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"90","HA-L1145",2019,NA,"HA-L1145 - NA","+To contribute to ensuring minimum levels of quality of life for vulnerable persons amid the crisis caused by COVID-19","Food consumption level of vulnerable families compared to that of nonvulnerable families 12 months after the onset of the crisis","%",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"91","HO-G1250",2016,NA,"HO-G1250 - NA","+Impacto #1: Eliminación de los casos de malaria","P1.01. Casos de malaria de transmisión local en el último año
E1.01 Casos de malaria y tasa de incidencia (por 1000 habitantes):
• por especie, clasificación, sexo, grupo de edad;
• por fuente (por ejemplo, importado o autóctono),
• por detección activa o pasiva, y
• por sector
E1.02 Focos por clasificación
E1.03 Personas y porcentaje de la población que vive en focos activos
E1.03 Personas y porcentaje de la población que vive en focos activos
E1.04 Muertes debido a la malaria, por especie y por tipo de caso (importado o adquirido localmente)","Numero de casos
Numero de casos
Numero
Numero
%
Numero",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"92","HO-L1071",2012,NA,"HO-L1071 - NA","+Acumulación de capital humano en familias que viven en situación de pobreza fomentada a través de: (i) aumento del uso de servicios educación, salud y nutrición y (ii) fortalecimiento de los procesos y herramientas de gestión técnica del programa para aum","Nutricion. Prevalencia de anemia en niños menores de 5 años (Hb<110 g/L)
Salud Materna e Infantil. Aumento en el porcentaje de mujeres embarazadas que recibieron control prenatal durante el primer trimestre del embarazo
Pobreza. Reduccion en Brecha de Pobreza
Nutricion. Prevalencia de anemia en niños menores de 5 años (Hb<110 g/L)
Educacion. Porcentaje de niños(as) en hogares rurales que terminaron al menos 6 grados en educación básica
Educacion. Porcentaje de niños(as) en hogares rurales que terminaron al menos 6 grados en educación básica
Salud Materna e Infantil. Porcentaje de mujeres embarazadas que recibieron control prenatal durante el primer trimestre del embarazo
Pobreza. Brecha de Pobreza","pp
%
%
%
%
pp
pp
pp",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"93","HO-L1072",2010,"Mother and Child Hospital Network Strengthening Program","HO-L1072 - Mother and Child Hospital Network Strengthening Program","+Reducción de la mortalidad materna en los departamento de Intibuca, Lempira y Valle.
+Reducción de la mortalidad infantil en los departamentos de Intibuca, Lempira y Valle.","Mortalidad materna en el departamento de Intibuca
Mortalidad Infantil en en el departamento de Intibucá
Mortalidad materna en en el departamento de Valle.
Mortalidad materna en en el departamento de Lempira.
Mortalidad Infantil en en el departamento de Valle
Mortalida infantil en en el departamento de Lempira","tasa
tasa
tasa
tasa
tasa
tasa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"94","HO-L1087",2012,NA,"HO-L1087 - NA","+Acumulación de capital humano en familias que viven en situación de pobreza","Nutrición: Prevalencia de anemia en niños menores de cuatro años beneficiarios del programa
Educación: Porcentaje de niños beneficiarios de 13 a 15 que terminaron al menos seis grados en educación básica
Pobreza: Reducción en la brecha de pobreza de los primeros dos quintiles de ingreso.
Salud: Porcentaje de Mujeres embarazadas beneficiarias que recibieron control prenatal durante el primer trimestre del embarazo.","Porcentaje
Porcentaje
Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"95","HO-L1093",2013,NA,"HO-L1093 - NA","+Acumulación de capital humano y reducción en la intensidad de la pobreza en familias beneficiarias que viven en situación de pobreza","Pobreza: Brecha de pobreza (PG) de los beneficiarios del programa
Educación: Niños beneficiarios de 13 a 15 que terminaron al menos seis grados en educación básica
Educación: Niños en aldeas seleccionadas de 15 a 18 años que terminaron la educación básica completa (9º)
Salud: Porcentaje de mujeres embarazadas beneficiarias que recibieron control prenatal durante el primer trimestre del embarazo
Nutrición: Prevalencia de anemia en niños de cuatro años o menos beneficiarios del programa","%
%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"96","HO-L1105",2016,NA,"HO-L1105 - NA","+Alivio de la Pobreza e Inversion en Capital Humano
+Salud Materna e Infantil
+Nutricion","Tasa de Pobreza extrema en beneficiarios del Programa Bono Vida Mejor a nivel rural
Porcentaje de mortalidad neonatal en Hospitales financiados por el proyecto
Prevalencia de anemia en niños de 6 a 59 meses en población de participantes del BVM","%
%
tasa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"97","HO-L1182",2012,NA,"HO-L1182 - NA","+Indicadores de Impacto","Mortalidad Materna
Mortalidad Infantil","Razón
tasa",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"98","HO-L1194",2021,NA,"HO-L1194 - NA","+Brecha de la pobreza extrema monetaria
+Alivio a la pobreza extrema e inversión en capital humano","Brecha de la pobreza extrema monetaria
Matrícula bruta promedio del tercer ciclo de educación básica (TCEB) en las áreas intervenidas
Brecha de la pobreza extrema monetaria
Matrícula bruta promedio del tercer ciclo de educación básica (TCEB) en las áreas intervenidas","Porcentaje
Porcentaje
Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"99","HO-L1195",2019,"Program to improve the management and quality of maternal-neonatal health services","HO-L1195 - Program to improve the management and quality of maternal-neonatal health services","+Reducción de la mortalidad materna neonatal","Razón de muerte materna hospitalaria en los hospitales intervenidos
Tasa de letalidad neonatal por sepsis y asfixia en hospitales intervenidos
RMM a nivel Nacional","%
%
Razón por 100.000 NV",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"100","HO-L1199",2021,"Comprehensive Strengthening of Tegucigalpa's Trauma and Emergency Care Network","HO-L1199 - Comprehensive Strengthening of Tegucigalpa's Trauma and Emergency Care Network","+Reducción de Lesiones de Causas externas
+COVID","Porcentaje de las Discapacidades por egreso relacionadas con las Lesiones de Causa Externa (LCE)
Número de muertes provocadas por COVID 19
Casos de COVID 19 confirmados
Porcentaje de Letalidad de las Lesiones de Causas Externas en el servicio de urgencias
Pocentaje de muertes hospitalarias por Lesiones de Causas Externas (LCE) general
Promedio diario de pacientes hospitalizados por COVID 19 durante el mes previo al reportes
Tasa Mortalidad Hospitalaria por LCE","Porcentaje
Numero
Numero
Porcentaje
Porcentaje
Numero
tasa",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"101","HO-L1226",2020,NA,"HO-L1226 - NA","+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables rurales frente a la crisis causada por el COVID-19 y los dos huracanes ETA e IOTA","Nivel de ingreso de hogares vulnerables rurales (tres quintiles más bajos) respecto a nivel de ingreso de hogares no vulnerables (dos quintiles más altos) 12 meses después del inicio de la crisis.
Brecha de la pobreza extrema monetaria en los hogares participantes rurales del BVM (utilizando la línea de pobreza actualizada)","Porcentaje
Porcentaje",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"102","HO-L1230",2021,NA,"HO-L1230 - NA","+Mejorar las condiciones de vida de los hogares en territorios que concentran pobreza extrema, así como promover la generación de su capital humano y capacidad de autogestión.","Brecha de la pobreza extrema monetaria reducida en los hogares.
Incidencia de la desnutrición reducida en los niños/as menores de 0 a 5 años.
Índice de desarrollo infantil temprano (0 a 6 años) aumentado.
Resultados de pruebas estandarizadas en español y matemática, incrementados (sexto grado).","%
%
Índice
Puntaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103","HO-L1239",2023,"Program to Strengthen the Hospital Network","HO-L1239 - Program to Strengthen the Hospital Network","+Mejorar la efectividad y el acceso a los servicios especializados hospitalarios materno-infantiles, de atención a lesiones de causa externa (LCE) y a complicaciones de enfermedades no trasmisibles","Tasa de mortalidad prematura, con causa básica de enfermedades cardiovasculares en el área de influencia en el último año de operación de los hospitales básicos y generales intervenidos.
Mortalidad neonatal hospitalaria en los últimos 12 meses de los hospitales básicos y generales intervenidos.
Letalidad hospitalaria por LCE en el último año de operación de los hospitales de trauma.","%
Tasa (por mil, ‰)
%",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"104","JA-G1005",2018,NA,"JA-G1005 - NA","+Improve the health of Jamaica’s population by implementing comprehensive policies for the prevention of NCD risk factors and increasing access to integrated primary and hospital services networks that provide more efficient and higher quality care.
+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","Premature mortality rate for diabetes mellitus (female)
Prevalence of diabetes mellitus for age group 15+years (male)
Prevalence of diabetes mellitus for age group 15+years (female)
Premature mortality rate for diabetes mellitus (male)
Premature mortality rate for diabetes mellitus (female)
Prevalence of diabetes mellitus for age group 18 years+ (male)
Prevalence of diabetes mellitus for age group 18 years+ (female)
Prevalence of hypertension for age 18 years+ (male)
Prevalence of obesity among boys, 13-15 years
Prevalence of obesity among boys, 13-15 years
Premature mortality rate for cardiovascular disease (male)
Premature mortality rate for cardiovascular disease (female)
Premature mortality rate for diabetes mellitus (male)
Prevalence of hypertension for age 15+years (male)
Prevalence of hypertension for age 15+years (female)
Prevalence of obesity among girls, 13-15 years
Prevalence of hypertension for age 18 years+ (female)
Prevalence of obesity among girls, 13-15 years
Premature mortality rate for cardiovascular disease (male)
Premature mortality rate for cardiovascular disease (female)
Premature mortality rate for diabetes mellitus (male)
Premature mortality rate for diabetes mellitus (female)","Cases for 100,000 inhabitants
%
%
Deaths/ 1000,000 inhabitants
Deaths/100,000 inhabitants
% of the population in each age group with the disease
% of the population in each age group with the disease
% of the population in each age group with disease
% of the population in each age group with the disease
%
Cases for 100,000 inhabitants
Cases for 100,000 inhabitants
Cases for 100,000 inhabitants
%
%
%
% of the population in each age group with the disease
% of the population in each age roup with the disease
100,000 inhabitants
100,000 inhabitants
100,000 inhabitants
100,000 inhabitants",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"105","JA-L1037",2013,NA,"JA-L1037 - NA","+Increased compliance of full set of health conditionalities for 2-6 years","increased coverage","Percentage",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106","JA-L1049",2018,"Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases
+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.
+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","Prevalence of hypertension for age 18 yrs+ (female)
Prevalence of hypertension for age 18 yrs+ (male)
Premature mortality rate for cardiovascular diseases (female)
Prevalence of obesity among boys, 13-15 years
Prevalence of diabetes mellitus for age group 18 yrs+ (female)
Premature mortality rate for diabetes mellitus (female)
Prevalence of diabetes mellitus for age group 18 years+ (female)
Premature mortality rate for diabetes mellitus (male)
Prevalence of obesity among boys, 13-15 years
Premature mortality rate for cardiovascular diseases (male)
Prevalence of diabetes mellitus for age group 18 yrs+ (male)
Prevalence of diabetes mellitus for age group 15 yrs+ (female)
Prevalence of diabetes mellitus for age group 18 years+ (male)
Prevalence of obesity among girls, 13-15 years
Prevalence of hypertension for age 15 yrs+ (female)
Prevalence of obesity among girls, 13-15 years
Premature mortality rate for diabetes mellitus (male)
Premature mortality rate for diabetes mellitus (female)
Prevalence of hypertension for age 18 years+ (male)
Prevalence of hypertension for age 15 yrs+ (male)
Prevalence of diabetes mellitus for age group 15 yrs+ (male)
Prevalence of hypertension for age 18 years+ (female)","%
%
Deaths/100,000 inhabitants
%
%
Deaths/100,000 inhabitants
% of the population in each age group with the disease
Deaths/ 1000,000 inhabitants
% of the population in each age group with the disease
Deaths/ 1000,000 inhabitants
%
%
% of the population in each age group with the disease
%
%
% of the population in each age roup with the disease
Deaths/100,000 inhabitants
Deaths/100,000 inhabitants
% of the population in each age group with disease
%
%
% of the population in each age group with the disease",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"107","JA-L1053",2016,NA,"JA-L1053 - NA","+Percentage of children in the parenting pilot at risk of delay on child development according to ASQ3
+To support consumption, protect and promote human capital accumulation of Program of Advancement through Health and Education (PATH) beneficiaries, and strengthen the overall capacity of MLSS to improve quality and access to the network of social services provided by the ministry to the poor and vulnerable population.
+Poverty gap of PATH beneficiaries
+Percentage of children in teh parenting pilot at risk of delay on child development according to ASQ3","% of children in the parenting pilot at risk of delay on child development according to ASQ3 (To be determined when baseline is completed)
Poverty Gap of PATH beneficiaries
% of children in the parenting pilot at risk of delay on child development according to ASQ3
Poverty Gap of PATH beneficiaries
% of children in the parenting pilot at risk of delay on child development according to ASQ3 (To be determined when baseline is completed)","%
%
%
%
%",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"108","ME-L1091",2010,NA,"ME-L1091 - NA","+Reducir el número de carencias promedio de la población mexicana en pobreza extrema.","Número de carencias promedio de la población en pobreza extrema","Número",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"109","ME-L1128",2012,"Growing healthy; strenghtening healthcare for Mexican Children","ME-L1128 - Growing healthy; strenghtening healthcare for Mexican Children","+El objetivo del programa es contribuir a acelerar la reducción de la mortalidad neonatal y post-neonatal, mediante el aseguramiento del financiamiento y acceso efectivo a servicios de salud de calidad, y el fortalecimiento del papel rector de la Secretaría de Salud, a través de su organismo desconcentrado la Comisión Nacional de Protección Social en Salud (CNPSS), con el fin de mejorar el estado de salud de los niños y niñas menores de 5 años sin acceso a la seguridad social.
+Contribuir a acelerar la reducción de la mortalidad neonatal y post-neonatal, y fortalecer el papel rector de la Secretaría de Salud.","Tasa de mortalidad neonatal (x 1.000 nacidos vivos)
Tasa de mortalidad infantil (x 1.000 nacidos vivos)
Tasa de mortalidad neonatal (x 1.000 nacidos vivos)
Tasa de mortalidad infantil (x 1.000 nacidos vivos)","Neonatos
Niños
Neonatos
Niños",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"110","ME-L1257",2014,NA,"ME-L1257 - NA","+Desarrollo de capacidades de los integrantes de las familias beneficiarias de PROSPERA Programa de Inclusión Social, mediante apoyos en salud, alimentación y educación","Número de carencias promedio de la población en pobreza extrema","Carencias",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"111","NI-G1022",NA,NA,"NI-G1022 - NA","+Eliminación de los casos de malaria en Nicaragua","NA","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"112","NI-L1054",2009,"Improving Family and Community Health in Highly Vulnerable Municipios","NI-L1054 - Improving Family and Community Health in Highly Vulnerable Municipios","+Estado de salud materno-infantil mejorado en el área priorizada.","Mortalidad neonatal en los municipios priorizados.
Tasa de nacimientos en adolescentes en los municipios priorizados.
Mortalidad Materna trianual en los municipios priorizados.","muertes por mil nacidos vivos
%
muertes por cien mil nacidos vivos",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"113","NI-L1059",2014,NA,"NI-L1059 - NA","+Mejorar el bienestar de los ninos y su desarrollo cognitivo y socioemocional, particularmente en poblaciones vulnerables","Porcentaje de niños y niñas de 6 a 23 meses con desnutrición crónica en del area priorizada
Porcentaje de niños de 3 a 6 asistiendo el pre-escolar en comunidades beneficiarias.
Porcentaje de niños menores de 6 años con retrasos en el desarrollo social/individual en comunidades beneficiarias
Porcentaje de niños de 0 a 6 años registrados en el Registro Civil en las áreas priorizadas.
Porcentaje de niños menores de 6 años con retrasos en el desarrollo motor fino en comunidades beneficiarias
Porcentaje de niños menores de 6 años con retrasos en el desarrollo del lenguaje en comunidades beneficiarias","%
%
%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"114","NI-L1068",2013,"Integrated Health Care Networks","NI-L1068 - Integrated Health Care Networks","+Mejorar el acceso a servicios de calidad y por ende el estado de salud, haciendo más efectivo el derecho a la salud.","Tasa de nacimientos en adolescentes en los SILAIS priorizados
Tasa de egresos hospitalarios en pacientes hipertensos en los SILAIS priorizados.
Tasa de hospitalización por diarrea en menores* de cinco años en los SILAIS priorizados (por 1,000 menores de 5 años y medida según residencia habitual del niño egresado).
Tasa de egresos hospitalarios en pacientes diabéticos en los SILAIS priorizados.","%
tasa de egresos
tasa de hospitalización
tasa de egresos",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"115","NI-L1081",2012,"Extending health care to Communities in the Dry Corridor Region","NI-L1081 - Extending health care to Communities in the Dry Corridor Region","+Morbilidad severa en la niñez
+Estado nutricional en la niñez
+Acceso a servicios primarios de salud sexual y reproductiva.","Tasa de hospitalización por enfermedad diarreica aguda (EDA) en menores de cinco años en el SILAIS de Madriz
Desnutrición crónica en menores de 2 años en los SILAIS de Madriz y Nueva Segovia
Tasa de hospitalización por neumonía en menores de cinco años en el SILAIS de Madriz.
Demanda insatisfecha de planificación familiar en el SILAIS de Madriz.","egresos por 1000 niños < 5a
%
egresos por cada 1000 niños < 5
%",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"116","NI-L1082",2013,"Modernization of Infrastructure and Management of Hospitals - Western Region","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region","+Morbi-mortalidad en la Región Occidente
+Acceso a servicios especializados en la Región Occidente","Mortalidad materna en la región occidente.
Mortalidades por Enfermedades Cardio y Cerebrovasculares.
Mortalidad por Insuficiencia Renal Crónica (IRC) en León.
Equidad en el acceso a servicios especializados electivos, medida por el cociente de la tasa de egresos (por mil habitantes) por cirugías mayores electivas del municipio más lejano, respecto de la misma tasa del municipio cabecera.
Equidad en el acceso a servicios especializados electivos, medida por el cociente de la tasa de egresos (por mil habitantes) por cirugías mayores electivas del municipio más lejano, respecto de la misma tasa del municipio cabecera.
Mortalidad neonatal en la región occidente.","muertes maternas por cien milNV
muertes por cien mil habitantes
muertes por cien mil habitantes
ratio
Número
muertes por mil nacidos vivos.",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"117","NI-L1095",2020,"Community Health Program for Rural Municipios","NI-L1095 - Community Health Program for Rural Municipios","+Mortalidad materna reducida.
+Morbilidad severa en la niñez reducida.
+Embarazos no deseados reducidos.
+Estado nutricional de los niños mejorado.","Mortalidad materna trienal.
Hospitalización por neumonía en menores de cinco años.
Mortalidad materna trienal.
Nacimientos en adolescentes
Hospitalización por enfermedad diarreica aguda (EDA) en menores de cinco años.
Menores de cinco años con anemia.
Mortalidad materna trienal.
Hospitalización por neumonía en menores de cinco años.
Menores de cinco años con anemia.
Menores de cinco años con desnutrición crónica.
Hospitalización por enfermedad diarreica aguda (EDA) en menores de cinco años.","Defunciones obstétricas por 100.000 nacidos vivos
Hospitalizaciones de menores de cinco años por 1.000 menores de cinco años
# of beneficiaries
%
Hospitalizaciones de menores de cinco años por 1.000 menores de cinco años
%
Muertes por 100 mil nacidos vivos
%
%
%
%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"118","NI-L1143",NA,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","+Mortalidad Materna e infantil reducidas
+Reducción de la desnutrición crónica en menores de 5 años
+Razón de mortalidad materna trienal
+Prevalencia de desnutrición crónica en menores de 5 años**
+Reducción de la mortalidad materna (RMM) trienal
+Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino.
+Reducción de la mortalidad por cáncer cérvico uterino.
+Mortalidad en la niñez por neumonía
+Reducción de la mortalidad en menores de cinco años
+Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA)**
+Mortalidad por enfermedades crónicas no transmisibles reducida
+Reducción de la mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA)
+Incidencia de malaria.
+Reducción de la prevalencia de malaria.","Razón de mortalidad materna Nueva Segovia
Prevalencia de desnutrición crónica en menores de 5 años Jinotega
Razón de mortalidad materna Madriz
NA
Razón de mortalidad materna Matagalpa
NA
Razón de mortalidad materna Estelí
Razón de mortalidad materna Jinotega
Prevalencia de desnutrición crónica en menores de 5 años Madriz
Razón de mortalidad materna trienal Matagalpa
NA
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Matagalpa
NA
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Madriz
Mortalidad en la niñez por neumonía Estelí
Mortalidad en la niñez por neumonía Madriz
Razón de mortalidad materna trienal Jinotega
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Jinotega
Prevalencia de desnutrición crónica en menores de 5 años Madriz
Mortalidad en la niñez por neumonía Jinotega
Mortalidad en la niñez por neumonía Jinotega
NA
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Jinotega
Razón de mortalidad materna trienal Nueva Segovia
Prevalencia de desnutrición crónica en menores de 5 años Nueva Segovia
Razón de mortalidad materna trienal Estelí
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Matagalpa
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Nueva Segovia
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Nueva Segovia
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Madriz
Prevalencia de desnutrición crónica en menores de 5 años Jinotega
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Madriz
Mortalidad en la niñez por neumonía Nueva Segovia
Mortalidad en la niñez por neumonía Estelí
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Nueva Segovia
NA
Prevalencia de desnutrición crónica en menores de 5 años Nueva Segovia
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Estelí
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Matagalpa
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Jinotega
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Estelí
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Estelí
Mortalidad en la niñez por neumonía Matagalpa
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Madriz
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Matagalpa
Tasa estandarizada por edad de mortalidad por cáncer cérvico uterino Estelí
Razón de mortalidad materna trienal Madriz
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Nueva Segovia
Mortalidad en la niñez por neumonía Nueva Segovia
Mortalidad en la niñez por neumonía Matagalpa
Mortalidad en la niñez por neumonía Madriz
Mortalidad en la niñez por Enfermedad Diarreica Aguda (EDA) Jinotega
Número de casos","Muertes por 100.000 nacidos vivos
Porcentaje
Muertes por 100.000 nacidos vivos
NA
Muertes por 100.000 nacidos vivos
NA
Muertes por 100.000 nacidos vivos
Muertes por 100.000 nacidos vivos
Porcentaje
Muertes por 100.000 nacidos vivos
NA
Por 100.000 mujeres 15 y más años
NA
Por 100.000 mujeres 15 y más años
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
Muertes por 100.000 nacidos vivos
Por 100.000 mujeres 15 y más años
Porcentaje
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
NA
Por 100.000 mujeres 15 y más años
Muertes por 100.000 nacidos vivos
Porcentaje
Muertes por 100.000 nacidos vivos
Muertes por 100.000 menores de 5 años
Por 100.000 mujeres 15 y más años
Por 100.000 mujeres 15 y más años
Muertes por 100.000 menores de 5 años
Porcentaje
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
NA
Porcentaje
Muerte
Por 100.000 mujeres 15 y más años
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
Por 100.000 mujeres 15 y más años
Muertes por 100.000 menores de 5 años
Por 100.000 mujeres 15 y más años
Muertes por 100.000 menores de 5 años
Por 100.000 mujeres 15 y más años
Muertes por 100.000 nacidos vivos
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
Muertes por 100.000 menores de 5 años
Muerte
Número de casos",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"119","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","+Objetivo General : Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud de la población nicaragüense con énfasis en los más vulnerables.","Casos de COVID-19 confirmados.
Número de muertes por COVID-19 registradas.","Casos
Muertes",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"120","NI0155",2013,NA,"NI0155 - NA","+Desarrollo integral de la niñez que vive en extrema pobreza en áreas urbanas mejorado.","Porcentaje de niños con retrasos en el desarrollo motor en los barrios beneficiarios.
Tasa de asistencia en escuela de primaria en los barrios beneficiados por el Programa aumentada (niños de 5 a 10 años viviendo en los hogares beneficiarios).
Porcentaje de Niños con retrasos en el desarrollo del lenguaje en los barrios beneficiarios.
Porcentaje de niños menores de cinco años con desnutrición crónica en los barrios beneficiados.","%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
